Star Pizza,1001,http:\/\/agawam.eat24hours.com\,/star-pizza\/28312
Janna Juice Bar &amp; Grill,1001,http:\/\/agawam.eat24hours.com\,/janna-juice-bar-grill\/94380
Dynasty Restaurant,1001,http:\/\/agawam.eat24hours.com\,/dynasty-restaurant\/53078
Rinaldi's Italian Specialties,1001,http:\/\/agawam.eat24hours.com\,/rinaldi-s-italian-specialties\/81436
Antonio's Grinders - Longhill,1001,http:\/\/agawam.eat24hours.com\,/antonio-s-grinders-longhill\/81427
Wild Olive Pizza,1001,http:\/\/agawam.eat24hours.com\,/wild-olive-pizza\/51081
King Pizza,1001,http:\/\/agawam.eat24hours.com\,/king-pizza\/28617
Jack Chen,1001,http:\/\/agawam.eat24hours.com\,/jack-chen\/9215
Frankie &amp; Johnnie's Pizza,1001,http:\/\/agawam.eat24hours.com\,/frankie-johnnie-s-pizza\/30773
Mamma Mia's Pizzeria,1001,http:\/\/agawam.eat24hours.com\,/mamma-mia-s-pizzeria\/37410
Panda House,1001,http:\/\/agawam.eat24hours.com\,/panda-house\/24987
Empire Pizza,1001,http:\/\/agawam.eat24hours.com\,/empire-pizza\/30658
MJ's Pizza,1001,http:\/\/agawam.eat24hours.com\,/mj-s-pizza\/31517
Nadim's Mediterranean Grill,1001,http:\/\/agawam.eat24hours.com\,/nadim-s-mediterranean-grill\/39647
Panjabi Tadka,1001,http:\/\/agawam.eat24hours.com\,/panjabi-tadka\/81434
Oriental Flavor,1002,http:\/\/amherst.eat24hours.com\,/oriental-flavor\/63996
Top Kabab,1002,http:\/\/amherst.eat24hours.com\,/top-kabab\/86560
Malek Shawarma Mediterranean Cafe,1002,http:\/\/amherst.eat24hours.com\,/malek-shawarma-mediterranean-cafe\/90915
New China,1010,http:\/\/brimfield.eat24hours.com\,/new-china\/73379
Panda Garden,1012,http:\/\/chesterfield.eat24hours.com\,/panda-garden\/26295
John's Pizzeria &amp; Restaurant,1013,http:\/\/chicopee.eat24hours.com\,/john-s-pizzeria-restaurant\/30700
Paradise Pizza,1013,http:\/\/chicopee.eat24hours.com\,/paradise-pizza\/80436
Janna Juice Bar &amp; Grill,1013,http:\/\/chicopee.eat24hours.com\,/janna-juice-bar-grill\/94380
Main Wok ,1013,http:\/\/chicopee.eat24hours.com\,/main-wok\/79128
Palace Pizza,1013,http:\/\/chicopee.eat24hours.com\,/palace-pizza\/57922
Village Pizza ,1013,http:\/\/chicopee.eat24hours.com\,/village-pizza\/91157
The Collegian Court,1013,http:\/\/chicopee.eat24hours.com\,/the-collegian-court\/83069
Star Pizza,1013,http:\/\/chicopee.eat24hours.com\,/star-pizza\/28312
King Pizza,1013,http:\/\/chicopee.eat24hours.com\,/king-pizza\/28617
Mamma Mia's Pizzeria,1013,http:\/\/chicopee.eat24hours.com\,/mamma-mia-s-pizzeria\/37410
ABC Pizza,1013,http:\/\/chicopee.eat24hours.com\,/abc-pizza\/85955
Panda House,1013,http:\/\/chicopee.eat24hours.com\,/panda-house\/24987
